,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
0,Albania,1987,male,15-24 years,21.0,312900.0,6.71,Albania1987,,"2,15,66,24,900",796,Generation X
1,Albania,1987,male,35-54 years,243.0618222430378,308000.0,5.19,Albania1987,,"2,15,66,24,900",796,Silent
2,Albania,1987,female,15-24 years,14.0,1847625.5671819262,12.833986240680078,Albania1987,,"2,15,66,24,900",796,Generation X
3,Albania,1987,male,75+ years,1.0,21800.0,4.59,Albania1987,,"2,15,66,24,900",796,G.I. Generation
4,Albania,1987,male,25-34 years,9.0,274300.0,3.28,Albania1987,,"   2,15,66,24,900",796,Boomers
5,Albania,1987,female,75+ years,1.0,35600.0,2.81,Albania1987,,"2,15,66,24,900",796,G.I. Generation
6,Albania,1987,female,35-54 years,243.0618222430378,278800.0,2.15,Albania1987,,"2,15,66,24,900",796,Silent
7,Albania,1987,female,25-34 years,4.0,257200.0,1.56,Albania1987,,"2,15,66,24,900",796,Boomers
8,Albania,1987,male,55-74 years,1.0,137500.0,12.833986240680078,Albania1987,,"2,15,66,24,900",796,G.I. Generation
9,Albania,1987,female,5-14 years,243.0618222430378,1847625.5671819262,0.0,Albania1987,,"2,15,66,24,900",796,Generation X
10,Albania,1987,female,55-74 years,0.0,1847625.5671819262,0.0,Albania1987,,"2,15,66,24,900",796,G.I. Generation
11,Albania,1987,male,5-14 years,0.0,338200.0,12.833986240680078,Albania1987,,"2,15,66,24,900",796,Generation X
12,Albania,1988,female,75+ years,2.0,36400.0,5.49,Albania1988,,"2,12,60,00,000",769,G.I. Generation
13,Albania,1988,male,15-24 years,17.0,319200.0,5.33,Albania1988,,"2,12,60,00,000",769,Generation X
14,Albania,1988,male,75+ years,243.0618222430378,22300.0,4.48,Albania1988,,"2,12,60,00,000",769,G.I. Generation
15,Albania,1988,male,35-54 years,14.0,314100.0,4.46,Albania1988,,"2,12,60,00,000",769,Silent
16,Albania,1988,male,55-74 years,243.0618222430378,140200.0,2.85,Albania1988,,"2,12,60,00,000",769,G.I. Generation
17,Albania,1988,female,15-24 years,8.0,1847625.5671819262,2.71,Albania1988,,"2,12,60,00,000",769,Generation X
18,Albania,1988,female,55-74 years,3.0,147500.0,2.03,Albania1988,,"2,12,60,00,000",769,G.I. Generation
19,Albania,1988,female,25-34 years,5.0,262400.0,1.91,Albania1988,,"2,12,60,00,000",769,Boomers
20,Albania,1988,male,25-34 years,5.0,279900.0,12.833986240680078,Albania1988,,"2,12,60,00,000",769,Boomers
21,Albania,1988,female,35-54 years,243.0618222430378,1847625.5671819262,1.41,Albania1988,,"2,12,60,00,000",769,Silent
22,Albania,1988,female,5-14 years,243.0618222430378,317200.0,0.0,Albania1988,,"2,12,60,00,000",769,Generation X
23,Albania,1988,male,5-14 years,243.0618222430378,345000.0,0.0,Albania1988,,"2,12,60,00,000",769,Generation X
24,Albania,1989,male,75+ years,2.0,22500.0,8.89,Albania1989,,"2,33,51,24,988",833,G.I. Generation
25,Albania,1989,male,25-34 years,18.0,1847625.5671819262,6.35,Albania1989,,"2,33,51,24,988",833,Boomers
26,Albania,1989,male,35-54 years,15.0,1847625.5671819262,4.71,Albania1989,,"2,33,51,24,988",833,Silent
27,Albania,1989,male,55-74 years,243.0618222430378,1847625.5671819262,4.22,Albania1989,,"2,33,51,24,988",833,G.I. Generation
28,Albania,1989,male,15-24 years,12.0,323500.0,3.71,Albania1989,,"2,33,51,24,988",833,Generation X
29,Albania,1989,female,35-54 years,7.0,288600.0,2.43,Albania1989,,"2,33,51,24,988",833,Silent
30,Albania,1989,female,15-24 years,243.0618222430378,299900.0,1.67,Albania1989,,"2,33,51,24,988",833,Generation X
31,Albania,1989,female,25-34 years,243.0618222430378,266300.0,0.75,Albania1989,,"2,33,51,24,988",833,Boomers
32,Albania,1989,female,55-74 years,1.0,149600.0,0.67,Albania1989,,"2,33,51,24,988",833,G.I. Generation
33,Albania,1989,female,5-14 years,0.0,321900.0,0.0,Albania1989,,"2,33,51,24,988",833,Generation X
34,Albania,1989,female,75+ years,0.0,37000.0,0.0,Albania1989,,"2,33,51,24,988",833,G.I. Generation
35,Albania,1989,male,5-14 years,0.0,1847625.5671819262,0.0,Albania1989,,"2,33,51,24,988",833,Generation X
36,Albania,1992,male,35-54 years,12.0,1847625.5671819262,3.49,Albania1992,,"70,94,52,584",251,Boomers
37,Albania,1992,male,15-24 years,9.0,263700.0,3.41,Albania1992,,"70,94,52,584",251,Generation X
38,Albania,1992,male,55-74 years,243.0618222430378,159500.0,3.13,Albania1992,,"70,94,52,584",251,Silent
39,Albania,1992,male,25-34 years,7.0,245500.0,2.85,Albania1992,,"70,94,52,584",251,Boomers
40,Albania,1992,female,15-24 years,7.0,292400.0,2.39,Albania1992,,"70,94,52,584",251,Generation X
41,Albania,1992,female,25-34 years,4.0,267400.0,1.5,Albania1992,,"70,94,52,584",251,Boomers
42,Albania,1992,female,35-54 years,2.0,1847625.5671819262,0.62,Albania1992,,"70,94,52,584",251,Boomers
43,Albania,1992,female,55-74 years,1.0,1847625.5671819262,0.61,Albania1992,,"70,94,52,584",251,Silent
44,Albania,1992,female,5-14 years,243.0618222430378,336700.0,0.0,Albania1992,,"70,94,52,584",251,Millenials
45,Albania,1992,female,75+ years,0.0,38700.0,0.0,Albania1992,,"70,94,52,584",251,G.I. Generation
46,Albania,1992,male,5-14 years,0.0,362900.0,0.0,Albania1992,,"70,94,52,584",251,Millenials
47,Albania,1992,male,75+ years,0.0,1847625.5671819262,0.0,Albania1992,,"70,94,52,584",251,G.I. Generation
48,Albania,1993,male,15-24 years,18.0,243300.0,7.4,Albania1993,,"1,22,80,71,038",437,Generation X
49,Albania,1993,male,55-74 years,7.0,165000.0,4.24,Albania1993,,"1,22,80,71,038",437,Silent
50,Albania,1993,male,75+ years,1.0,1847625.5671819262,4.13,Albania1993,,"1,22,80,71,038",437,G.I. Generation
51,Albania,1993,male,25-34 years,9.0,230100.0,3.91,Albania1993,,"1,22,80,71,038",437,Boomers
52,Albania,1993,female,15-24 years,243.0618222430378,285300.0,3.51,Albania1993,,"1,22,80,71,038",437,Generation X
53,Albania,1993,male,35-54 years,10.0,1847625.5671819262,2.85,Albania1993,,"1,22,80,71,038",437,Boomers
54,Albania,1993,female,25-34 years,7.0,1847625.5671819262,2.67,Albania1993,,"1,22,80,71,038",437,Boomers
55,Albania,1993,female,35-54 years,7.0,331200.0,2.11,Albania1993,,"1,22,80,71,038",437,Boomers
56,Albania,1993,female,55-74 years,2.0,169500.0,12.833986240680078,Albania1993,,"1,22,80,71,038",437,Silent
57,Albania,1993,female,5-14 years,243.0618222430378,340300.0,0.29,Albania1993,,"1,22,80,71,038",437,Millenials
58,Albania,1993,male,5-14 years,1.0,367000.0,0.27,Albania1993,,"1,22,80,71,038",437,Millenials
59,Albania,1993,female,75+ years,0.0,39300.0,0.0,Albania1993,,"1,22,80,71,038",437,G.I. Generation
60,Albania,1994,male,75+ years,2.0,24600.0,8.13,Albania1994,,"1,98,56,73,798",697,G.I. Generation
61,Albania,1994,male,55-74 years,11.0,171400.0,6.42,Albania1994,,"1,98,56,73,798",697,Silent
62,Albania,1994,female,75+ years,2.0,39900.0,5.01,Albania1994,,"1,98,56,73,798",697,G.I. Generation
